Hitam,Black,blek,https://images.unsplash.com/photo-1517841905240-472988babdf9?w=500
Biru,Blue,blu,https://images.unsplash.com/photo-1494256997604-768d1f608cac?w=500
Hijau,Green,grin,https://images.unsplash.com/photo-1465146344425-f00d5f5c8f07?w=500
Merah,Red,red,https://images.unsplash.com/photo-1513151233558-d860c5398176?w=500
Putih,White,wait,https://images.unsplash.com/photo-1499084732479-de2c02d45fc4?w=500
Kuning,Yellow,yelo,https://images.unsplash.com/photo-1473448912268-2022ce9509d8?w=500
